,__type,ReleaseID,Date,FileDate,D0,D1,D2,D3,D4,None,Entidad
121,DroughtMonitorSite.code.NadmData,104,2011-06-30,20110630,0.0,0.0,100.0,0.0,0.0,0.0,Aguascalientes
122,DroughtMonitorSite.code.NadmData,103,2011-05-31,20110531,0.0,0.0,100.0,0.0,0.0,0.0,Aguascalientes
123,DroughtMonitorSite.code.NadmData,102,2011-04-30,20110430,0.0,0.0,100.0,0.0,0.0,0.0,Aguascalientes
124,DroughtMonitorSite.code.NadmData,101,2011-03-31,20110331,65.49,34.51,0.0,0.0,0.0,0.0,Aguascalientes
125,DroughtMonitorSite.code.NadmData,100,2011-02-28,20110228,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
126,DroughtMonitorSite.code.NadmData,99,2011-01-31,20110131,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
127,DroughtMonitorSite.code.NadmData,98,2010-12-31,20101231,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
128,DroughtMonitorSite.code.NadmData,97,2010-11-30,20101130,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
129,DroughtMonitorSite.code.NadmData,96,2010-10-31,20101031,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
130,DroughtMonitorSite.code.NadmData,95,2010-09-30,20100930,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
131,DroughtMonitorSite.code.NadmData,94,2010-08-31,20100831,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
132,DroughtMonitorSite.code.NadmData,93,2010-07-31,20100731,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
133,DroughtMonitorSite.code.NadmData,92,2010-06-30,20100630,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
134,DroughtMonitorSite.code.NadmData,91,2010-05-31,20100531,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
135,DroughtMonitorSite.code.NadmData,90,2010-04-30,20100430,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
136,DroughtMonitorSite.code.NadmData,89,2010-03-31,20100331,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
137,DroughtMonitorSite.code.NadmData,88,2010-02-28,20100228,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
138,DroughtMonitorSite.code.NadmData,87,2010-01-31,20100131,11.09,0.0,0.0,0.0,0.0,88.91,Aguascalientes
139,DroughtMonitorSite.code.NadmData,86,2009-12-31,20091231,8.32,0.0,0.0,0.0,0.0,91.68,Aguascalientes
140,DroughtMonitorSite.code.NadmData,85,2009-11-30,20091130,28.5,53.1,0.0,0.0,0.0,18.4,Aguascalientes
141,DroughtMonitorSite.code.NadmData,84,2009-10-31,20091031,28.05,54.71,0.0,0.0,0.0,17.24,Aguascalientes
142,DroughtMonitorSite.code.NadmData,83,2009-09-30,20090930,29.12,55.41,0.0,0.0,0.0,15.47,Aguascalientes
143,DroughtMonitorSite.code.NadmData,82,2009-08-31,20090831,27.71,63.28,0.0,0.0,0.0,9.01,Aguascalientes
144,DroughtMonitorSite.code.NadmData,81,2009-07-31,20090731,92.52,0.0,0.0,0.0,0.0,7.48,Aguascalientes
145,DroughtMonitorSite.code.NadmData,80,2009-06-30,20090630,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
146,DroughtMonitorSite.code.NadmData,79,2009-05-31,20090531,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
147,DroughtMonitorSite.code.NadmData,78,2009-04-30,20090430,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
148,DroughtMonitorSite.code.NadmData,77,2009-03-31,20090331,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
149,DroughtMonitorSite.code.NadmData,76,2009-02-28,20090228,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
150,DroughtMonitorSite.code.NadmData,75,2009-01-31,20090131,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
151,DroughtMonitorSite.code.NadmData,74,2008-12-31,20081231,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
152,DroughtMonitorSite.code.NadmData,73,2008-11-30,20081130,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
153,DroughtMonitorSite.code.NadmData,72,2008-10-31,20081031,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
154,DroughtMonitorSite.code.NadmData,71,2008-09-30,20080930,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
155,DroughtMonitorSite.code.NadmData,70,2008-08-31,20080831,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
156,DroughtMonitorSite.code.NadmData,69,2008-07-31,20080731,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
157,DroughtMonitorSite.code.NadmData,68,2008-06-30,20080630,7.0,93.0,0.0,0.0,0.0,0.0,Aguascalientes
158,DroughtMonitorSite.code.NadmData,67,2008-05-31,20080531,9.55,90.45,0.0,0.0,0.0,0.0,Aguascalientes
159,DroughtMonitorSite.code.NadmData,66,2008-04-30,20080430,11.22,88.78,0.0,0.0,0.0,0.0,Aguascalientes
160,DroughtMonitorSite.code.NadmData,65,2008-03-31,20080331,11.22,88.78,0.0,0.0,0.0,0.0,Aguascalientes
161,DroughtMonitorSite.code.NadmData,64,2008-02-29,20080229,26.8,0.0,0.0,0.0,0.0,73.2,Aguascalientes
162,DroughtMonitorSite.code.NadmData,63,2008-01-31,20080131,43.8,35.15,0.0,0.0,0.0,21.05,Aguascalientes
163,DroughtMonitorSite.code.NadmData,62,2007-12-31,20071231,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
164,DroughtMonitorSite.code.NadmData,61,2007-11-30,20071130,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
165,DroughtMonitorSite.code.NadmData,60,2007-10-31,20071031,22.93,0.15,0.0,0.0,0.0,76.93,Aguascalientes
166,DroughtMonitorSite.code.NadmData,59,2007-09-30,20070930,77.66,13.73,0.0,0.0,0.0,8.61,Aguascalientes
167,DroughtMonitorSite.code.NadmData,58,2007-08-31,20070831,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
168,DroughtMonitorSite.code.NadmData,57,2007-07-31,20070731,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
169,DroughtMonitorSite.code.NadmData,56,2007-06-30,20070630,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
170,DroughtMonitorSite.code.NadmData,55,2007-05-31,20070531,98.88,0.0,0.0,0.0,0.0,1.12,Aguascalientes
171,DroughtMonitorSite.code.NadmData,54,2007-04-30,20070430,53.25,40.23,0.0,0.0,0.0,6.52,Aguascalientes
172,DroughtMonitorSite.code.NadmData,53,2007-03-31,20070331,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
173,DroughtMonitorSite.code.NadmData,52,2007-02-28,20070228,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
174,DroughtMonitorSite.code.NadmData,51,2007-01-31,20070131,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
175,DroughtMonitorSite.code.NadmData,50,2006-12-31,20061231,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
176,DroughtMonitorSite.code.NadmData,49,2006-11-30,20061130,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
177,DroughtMonitorSite.code.NadmData,48,2006-10-31,20061031,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
178,DroughtMonitorSite.code.NadmData,47,2006-09-30,20060930,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
179,DroughtMonitorSite.code.NadmData,46,2006-08-31,20060831,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
180,DroughtMonitorSite.code.NadmData,45,2006-07-31,20060731,99.98,0.02,0.0,0.0,0.0,0.0,Aguascalientes
181,DroughtMonitorSite.code.NadmData,44,2006-06-30,20060630,0.0,47.09,52.91,0.0,0.0,0.0,Aguascalientes
182,DroughtMonitorSite.code.NadmData,43,2006-05-31,20060531,44.64,51.95,3.41,0.0,0.0,0.0,Aguascalientes
183,DroughtMonitorSite.code.NadmData,42,2006-04-30,20060430,0.0,0.0,100.0,0.0,0.0,0.0,Aguascalientes
184,DroughtMonitorSite.code.NadmData,41,2006-03-31,20060331,0.0,1.2,98.8,0.0,0.0,0.0,Aguascalientes
185,DroughtMonitorSite.code.NadmData,40,2006-02-28,20060228,0.0,100.0,0.0,0.0,0.0,0.0,Aguascalientes
186,DroughtMonitorSite.code.NadmData,39,2006-01-31,20060131,100.0,0.0,0.0,0.0,0.0,0.0,Aguascalientes
187,DroughtMonitorSite.code.NadmData,38,2005-12-31,20051231,100.0,0.0,0.0,0.0,0.0,0.0,Aguascalientes
188,DroughtMonitorSite.code.NadmData,37,2005-11-30,20051130,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
189,DroughtMonitorSite.code.NadmData,36,2005-10-31,20051031,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
190,DroughtMonitorSite.code.NadmData,35,2005-09-30,20050930,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
191,DroughtMonitorSite.code.NadmData,34,2005-08-31,20050831,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
192,DroughtMonitorSite.code.NadmData,33,2005-07-31,20050731,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
193,DroughtMonitorSite.code.NadmData,32,2005-06-30,20050630,97.89,0.0,0.0,0.0,0.0,2.11,Aguascalientes
194,DroughtMonitorSite.code.NadmData,31,2005-05-31,20050531,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
195,DroughtMonitorSite.code.NadmData,30,2005-04-30,20050430,0.0,0.0,0.0,0.0,0.0,100.0,Aguascalientes
